,0
75,"public String reverseString(String s) { 
 char[] charArray = s.toCharArray(); 
 int left = 0; 
 int right = s.length() - 1; 
 while (left < right) { 
 char temp = charArray[left]; 
 charArray[left] = charArray[right]; 
 charArray[right] = temp; 
 left++; 
 right--; 
 } 
 return new String(charArray); 
 }"
76,"'print(""Hello, World!"")'"
77,NULL
78,"""int arr[5] = {1, 2, 3, 4, 5};""
""for(int i=0; i<5; i++) {cout << arr[i] << endl;}"""
79,"class Program { static void Main(string[] args) { Console.WriteLine('Hello, world!'); } }"
80,NULL
81,"function add(a, b) { return a + b; }"
82,"for i in range(1, 11): 
    print(i)"
83,NULL
84,"const numbers = [1, 2, 3, 4]; const doubled = numbers.map(n => n * 2);"
85,NULL
86,"numbers = [5, 1, 9, 3, 7]; sorted_numbers = sorted(numbers);"
87,#include <iostream>; int main() { std::cout << 'Hello World'; return 0; }
88,NULL
89,int[] numbers = new int[5];
90,NULL
91,"class Rectangle { int width, height; public: void set_values (int,int); int area() {return width*height;} };"
92,function square(number) { return number * number; }
93,NULL
94,"def hello_world(): 
    print('Hello, world!')"
95,NULL
96,"public class Main { 
public static int binarySearch(int[] arr, int target) { 
int left = 0; 
int right = arr.length - 1; 
while (left <= right) { 
int mid = left + (right - left) / 2; 
if (arr[mid] == target) { 
return mid; 
} 
if (arr[mid] < target) { 
left = mid + 1; 
} else { 
right = mid - 1; 
} 
} 
return -1; 
} 
}"
97,NULL
98,git checkout -b new-branch
99,NULL
100,"int findMax(int arr[], int n) { int max = arr[0]; for (int i = 1; i < n; i++) if (arr[i] > max) max = arr[i]; return max; }"
101,NULL
102,NULL
103,function findSum(arr) { let sum = 0; for (let i = 0; i < arr.length; i++) { sum += arr[i]; } return sum; }
104,NULL
105,stages: - build - test - deploy build: stage: build script: - echo 'Building...' test: stage: test script: - echo 'Testing...' deploy: stage: deploy script: - echo 'Deploying...'
106,NULL
107,git merge feature-branch
108,public class Singleton { private static Singleton instance; private Singleton() {} public static Singleton Instance { get { if (instance == null) { instance = new Singleton(); } return instance; } } }
109,"print('Hello, World!')"
110,"#include <iostream>
int main() {
std::cout << 'Hello, World!';
return 0;
}"
111,NULL
112,NULL
113,NULL
114,"func add(a: Int, b: Int) -> Int {
return a + b
}"
115,NULL
116,"using System;
class Program {
static void Main() {
Console.WriteLine('Hello, World!');
}
}"
117,"fun add(a: Int, b: Int): Int {
return a + b
}"
118,NULL
119,"my_list = []
my_list.append('Hello')
my_list.append('World')
print(my_list)"
120,"function factorial(n) {
if (n === 0) {
return 1;
} else {
return n * factorial(n - 1);
}
}"
121,NULL
122,"puts 'Hello, World!'"
123,"```rust
fn main() {
    println!('Hello, World!');
}
```"
124,public static int max(int[] array) { int max = array[0]; for (int i = 1; i < array.length; i++) { if (array[i] > max) { max = array[i]; } } return max; }
125,"Console.WriteLine('Hello, World!');"
126,NULL
127,NULL
128,"```javascript
test('adds 1 + 2 to equal 3', () => { expect(sum(1, 2)).toBe(3); });
```"
129,"public class HelloWorld {public static void main(String[] args) {System.out.println('Hello, World!');}}"
130,NULL
131,"for i in range(1, 11): 
print(i)"
132,NULL
133,Get-ChildItem -Path C:\ -Recurse
134,"def addTwoNumbers(a, b): 
    return a + b"
135,if (x > 0) { console.log('Positive') } else { console.log('Negative') }
136,NULL
137,NULL
138,public static int factorial(int n) { if (n == 0) return 1; else return n * factorial(n-1); }
139,NULL
140,"#include <cassert> void testAdd() { assert(add(2, 3) == 5); }"
141,NULL
142,function changeBackgroundColor(color) { document.body.style.background = color; }
143,NULL
144,def factorial(n) if n == 0 1 else n * factorial(n - 1) end end
145,static bool IsPrime(int number) { if (number <= 1) return false; for (var i = 2; i < number; i++) if (number % i == 0) return false; return number > 1; }
146,NULL
147,"function sumArray(array) { 
var sum = 0; 
for (var i = 0; i < array.length; i++) { 
sum += array[i]; 
} 
return sum; 
}"
148,NULL
149,NULL
150,NULL
151,NULL
152,NULL
153,NULL
154,"public static void main(String args[]){
 // code block
 }"
155,NULL
156,public const int MaxItems = 100;
157,NULL
158,"a, b = b, a"
159,NULL
160,"const numbers = [1, 2, 3, 4, 5];
const evens = numbers.filter(n => n % 2 == 0);"
161,NULL
162,"for (int i = 0; i < 10; i++) {
 // code to be executed
 }"
163,NULL
164,"public class HelloWorld {
 public static void main(String[] args) {
 System.out.println(""Hello, World!"");
}
}"
165,NULL
166,"import unittest
class TestStringMethods(unittest.TestCase):
def test_upper(self):
self.assertEqual('foo'.upper(), 'FOO')"
167,NULL
168,NULL
169,```git clone https://github.com/user/repository.git```
170,NULL
171,NULL
172,NULL
173,NULL
174,"In software development, refactoring is the process of restructuring existing computer code without changing its external behavior. The goal of refactoring is to improve the design, structure, or implementation of the software, while preserving its functionality. Here's an example of a refactoring technique in Python called 'Extract Method'. 

```python
def print_details(self):
    print(f'Name: {self.name}')
    print(f'Age: {self.age}')
```

This method extracts the printing details into a separate method, making the code cleaner and more modular."
175,NULL
176,NULL
177,"function bubbleSort(arr) {
 for(let i = 0; i < arr.length; i++) {
 for(let j = 0; j < arr.length - i - 1; j++) {
 if(arr[j] > arr[j + 1]) {
 let temp = arr[j];
 arr[j] = arr[j + 1];
 arr[j + 1] = temp;
 }
 }
 }
 return arr;
 }"
178,"class Car {
 public:
 void start() {
 cout << ""Car started"";
 }
 };
"
179,"def add(a, b): return a + b"
180,"The code in the paragraph is:

```
JavaScript function document.getElementById('demo').innerHTML = 'Hello JavaScript';
```"
181,NULL
182,"public class Main {public static void main(String[] args) {System.out.println('Hello, World!');}}"
183,NULL
184,"int main() {cout << 'Hello, World!'; return 0;}"
185,"void bubbleSort(int arr[], int n) {for (int i = 0; i < n-1; i++) {for (int j = 0; j < n-i-1; j++) {if (arr[j] > arr[j+1]) {swap(&arr[j], &arr[j+1]);}}}}"
186,NULL
187,"function greet(name) {return 'Hello, ' + name;}"
188,"def sum(a, b): return a + b"
189,NULL
190,"int main() {cout << 'Hello, World!'; return 0;}"
191,NULL
192,def factorial(n): if n == 1: return 1 else: return n * factorial(n-1)
193,NULL
194,"def main(): 
    print('Hello, World!') 
main()"
195,NULL
196,git init
197,NULL
198,"var http = require('http'); http.createServer(function (req, res) { res.writeHead(200, {'Content-Type': 'text/html'}); res.end('Hello World!'); }).listen(8080);"
199,"import sys
print('Hello, World!')"
200,NULL
201,"start
version: '3'
services:
  web:
    build: .
    ports:
     - '5000:5000'
end"
202,NULL
203,"for i in range(0, 10): 
    print(i)"
204,NULL
205,"document.getElementById('myId').innerHTML = 'Hello, World!'"
206,NULL
207,"cout << 'Hello, World!';"
208,NULL
209,"print('Hello, World!')"
210,"```
NULL
```"
211,"println('Hello, World!')"
212,NULL
213,"puts 'Hello, World!'"
214,NULL
215,NULL
216,"printf('Hello, World!');"
217,"```yaml
YAML, or 'YAML Ain't Markup Language', is a human-readable data serialization language. It's used for configuration files and data exchange between languages with different data structures.

YAML is often used with Ansible, a configuration management tool. Ansible uses YAML to define provisioning details for different environments.
```"
218,"for i in range(10):
    print(i)"
219,NULL
220,NULL
221,if x 10 print x is less than 10 else print x is greater than or equal to 10
222,NULL
223,"def hello(): print('Hello, World!')"
224,"public class HelloWorld { 
public static void main(String[] args) { 
System.out.println('Hello, World!'); 
} }"
225,NULL
226,class MyClass: x = 5
227,"function show_alert() { alert('Hello, World!'); }"
228,NULL
229,NULL
230,"#include <iostream>
int main() { std::cout << 'Hello, World!'; return 0; }"
231,"function sum(a, b) { return a + b; }"
232,NULL
233,for(int i = 0; i < 10; i++) { Console.WriteLine(i); }
234,NULL
235,System.out.println()
236,NULL
237,int x = 10; if (x > 0) { cout << 'Positive number'; } else { cout << 'Negative number'; }
238,NULL
239,NULL
240,"def test_add():
        assert add(2, 2) == 4"
241,"items = set(['apple', 'banana', 'cherry'])

'apple' in items"
242,NULL
243,Button Content='Click me' Width=100 Height=50
244,NULL
245,NULL
246,"int arr[5] = {1, 2, 3, 4, 5};"
247,NULL
248,"function calculateArea(width, height) {
	return width * height;
}"
249,NULL
250,"#include<iostream>

int main(){
  std::cout << 'Hello, World!';
  return 0;
}"
251,NULL
252,NULL
253,"public class HelloWorld {
	public static void main(String[] args) {
		System.out.println('Hello, World!');
	}
}"
254,"System.out.println('Hello, World!');"
255,NULL
256,"function addNumbers(a, b) { return a + b; }"
257,"print('Hello, World!')"
258,NULL
259,"int main() { std::cout << 'Hello, World!' << std::endl; return 0; }"
260,NULL
261,"class TestAddition(unittest.TestCase):
    def test_add(self):
        self.assertEqual(add(1, 2), 3)"
262,"package main 
import 'fmt' 
func main() { 
   fmt.Println('Hello, World!') 
}"
263,NULL
264,"document.getElementById('myId').innerHTML = 'Hello, World!';"
265,NULL
266,"def greet(name): 
    return f'Hello, {name}!'"
267,NULL
268,"fun main() { println('Hello, World!') }"
269,"public class HelloWorld {public static void main(String[] args) {System.out.println('Hello, World!');}}"
270,NULL
271,"#include <iostream>
using namespace std;
int main() {cout << 'Hello, World!'; return 0;}"
272,NULL
273,"function greet() {console.log('Hello, World!');}"
274,NULL
275,"public class Calculator {public int Add(int a, int b) {return a + b;}}"
276,NULL
277,"my_list = [1, 2, 3, 4, 5]"
278,NULL
279,"@SpringBootApplication public class Application {public static void main(String[] args) {SpringApplication.run(Application.class, args);}}"
280,NULL
281,"package main
import 'fmt'
func main() {fmt.Println('Hello, World!')}"
282,NULL
283,"const greet = () => {console.log('Hello, World!');}"
284,"print('Hello, World!')"
285,NULL
286,NULL
287,NULL
288,"public class Singleton {
private static Singleton instance = new Singleton();
private Singleton() {}
public static Singleton getInstance() { return instance; } }"
289,"print('Hello, World!')"
290,NULL
291,alert('This is a message box!')
292,NULL
293,"function add(a, b) { return a + b; }"
294,NULL
295,"public class HelloWorld { 
  public static void main(String[] args) { 
    System.out.println('Hello, World!'); 
  } 
}"
296,NULL
297,"#include <iostream> 
int main() { 
std::cout << 'Hello, World!'; 
return 0; }"
298,NULL
299,static void Main(string[] args) { Console.WriteLine('Hello World!'); }
300,NULL
301,"#include <stdio.h>
int main() { 
    printf('Hello, World!'); 
    return 0; 
}"
302,NULL
303,"print('Hello, World!')"
304,public int fibonacci(int n) {if (n <= 1) return n; else return fibonacci(n-1) + fibonacci(n-2);}
305,NULL
306,git checkout -b new_branch_name
307,"alert('Hello, World!')"
308,NULL
309,"def print_greeting(): 
  print('Hello, world!')
"
310,NULL
311,NULL
312,int factorial(int n) {if(n > 1) return n * factorial(n - 1); else return 1;}
313,NULL
314,"document.getElementById('myElement').innerHTML = 'Hello, World!';"
315,NULL
316,NULL
317,public static int Factorial(int n) {if (n == 0) return 1; return n * Factorial(n - 1);}
318,NULL
319,NULL
320,NULL
321,int factorial(int n) { if(n > 1) return n * factorial(n - 1); else return 1; }
322,NULL
323,NULL
324,"#include<iostream>
using namespace std;
int main(){
    cout<< 'Hello World';
    return 0;
}"
325,NULL
326,"def add(a, b): return a + b"
327,function factorial(n){ if(n == 0){ return 1; } else { return n * factorial(n-1); }}
328,NULL
329,NULL
330,"```python
# NULL
```"
331,"class Program { 
    static void Main(string[] args) { 
        Console.WriteLine('Hello, World!'); 
    } 
}"
332,"import unittest
class TestStringMethods(unittest.TestCase):
    def test_upper(self):
        self.assertEqual('foo'.upper(), 'FOO')
if __name__ == '__main__':
    unittest.main()"
333,NULL
334,"```HTML
<!DOCTYPE html> <html> <head> <title>Page Title</title> </head> <body> <h1>My First Heading</h1> <p>My first paragraph.</p> </body> </html>
```"
335,"function addNumbers(a, b) { return a + b; } function calculateSum(a, b) { return a + b; }"
336,public class Dog { private String name; public Dog(String name) { this.name = name; } public void bark() { System.out.println('Woof!'); } }
337,"import pdb
def buggy_function(a, b):
    pdb.set_trace()
    return a / b"
338,NULL
339,"import org.junit.*;
public class SimpleTest {
@Test
public void testAddition() {
int a = 3;
int b = 4;
int result = a + b;
Assert.assertEquals(7, result);
}
}"
340,NULL
341,NULL
342,"const express = require('express'); const app = express(); app.get('/', (req, res) => { res.send('Hello World!'); }); app.listen(3000, () => { console.log('App listening on port 3000!'); });"
343,NULL
344,"def helloWorld():
	 print('Hello, world!')"
345,NULL
346,"public class HelloWorld {
	 public static void main(String[] args) {
		 System.out.println('Hello, World!');
	 }
 }"
347,NULL
348,"function helloWorld() {
     console.log('Hello, world!');
}"
349,"public class HelloWorld {
    public static void main(String[] args) {
        System.out.println('Hello, World!');
    }
}"
350,NULL
351,"function greet(name) {
    alert('Hello, ' + name + '!');
}"
352,"#!/bin/bash

# Update the system
sudo apt-get update -y
sudo apt-get upgrade -y"
353,NULL
354,"#include<iostream>
int main() {
    std::cout << 'Hello, World!';
    return 0;
}"
355,NULL
356,"func greet(name: String) {
    print('Hello, \(name)')
}"
357,NULL
358,<Button Width='75' Height='25' Content='Click me' />
359,NULL
360,"function greet(name: string): void {
    console.log('Hello, ' + name + '!');
}"
361,NULL
362,Get-Process
363,NULL
364,NULL
365,NULL
366,NULL
367,NULL
368,git commit -m 'Your message here'
369,"package main
import 'fmt'
func main() { 
    fmt.Println('Hello, World!') 
}"
370,NULL
371,"import org.junit.Test;
public class SimpleTest {
@Test
public void test() {
int x = 5;
assertEquals(5, x);
} }"
372,NULL
373,"alert('Hello, World!')"
374,"print('Hello, World!')"
375,NULL
376,"#include <iostream> int main() { std::cout << 'Hello, World!' << std::endl; return 0; }"
377,NULL
378,"public class Main {
 public static void main(String[] args) {
 System.out.println('Hello, World!');
 } 
}"
379,"def greet(name):    print(f'Hello, {name}!')"
380,NULL
381,"function greet(name) { console.log(`Hello, ${name}!`);}"
382,NULL
383,"public class HelloWorld {
    public static void main(String[] args) {
        System.out.println(""Hello, World!"");
    }}"
384,NULL
385,"func greet(name string) string {    return ""Hello, "" + name + ""!""}"
386,NULL
387,"var greeting = function(name) { return 'Hello, ' + name + '!';};"
388,NULL
389,"fn greet(name: &str) -> String {    format!(""Hello, {}!"", name)}"
390,NULL
391,"function Greet($name) { Write-Host ""Hello, $name!""}"
392,NULL
393,"fun greet(name: String) {
   println(""Hello, $name!"")
}"
394,NULL
395,"def add_numbers(a, b): 
    return a + b"
396,NULL
397,"#include<iostream> int main(){std::cout << ""Hello World""; return 0;}"
398,git commit -m 'Initial commit'
399,NULL
400,"var greeting = ""Hello, world!"";
console.log(greeting);"
401,NULL
402,"public class HelloWorld {public static void main(String[] args) {System.out.println(""Hello, World!"");}}"
403,NULL
404,"def hello_world puts 'Hello, World!' end"
405,NULL
406,"#include<stdio.h>
int main(){printf(""Hello, World!""); return 0;}"
407,NULL
408,"fun greet(name: String): String {return ""Hello, $name!""}"
409,NULL
410,NULL
411,"""console.log('Hello, World!');"""
412,NULL
413,"int i = 0;
i++;"
414,NULL
415,git init
416,NULL
417,"def factorial(n)
	return 1 if n == 0
	(n * factorial(n - 1))
end"
418,NULL
419,"int[] array = new int[5];
"
420,NULL
421,"int factorial(int n) {
	if(n == 0)
		return 1;
	else
		return n * factorial(n - 1);
}"
422,NULL
423,"function factorial(n) {
	if(n == 0)
		return 1;
	else
		return n * factorial(n - 1);
}"
424,"def factorial(n):
if n == 0:
    return 1
else:
    return n * factorial(n-1)"
425,"FROM python:3.7
WORKDIR /app
COPY . /app
RUN pip install --no-cache-dir -r requirements.txt
CMD [""python"", ""./your-daemon-or-script.py""]"
426,NULL
427,"```java
public class HelloWorld {
    public static void main(String[] args) {
        System.out.println(""Hello, World!""); 
    }
}
```"
428,NULL
429,"def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)"
430,NULL
431,NULL
432,function sumArray(arr) { let sum = 0; for(let i = 0; i < arr.length; i++) { sum += arr[i]; } return sum; }
433,NULL
434,"public class User { 
private String name; 
private String email; 
public User(String name, String email) { 
this.name = name; 
this.email = email; 
} 
public String getName() { 
return name; 
} 
public String getEmail() { 
return email; 
} 
}"
435,NULL
436,class MyClass { public: int myNum; string myString; }; int main() { MyClass myObj; myObj.myNum = 15; myObj.myString = 'Hello'; cout << myObj.myNum; cout << myObj.myString; return 0; }
437,NULL
438,NULL
439,"func addTwoNumbers(num1: Int, num2: Int) -> Int { return num1 + num2 }
let sum = addTwoNumbers(num1: 5, num2: 3)"
440,NULL
441,NULL
442,"def reverse_string(s) 
return s.reverse 
end"
443,NULL
444,"class TestMyFunction(unittest.TestCase):
def test_add(self):
self.assertEqual(add(1, 2), 3)"
445,"const express = require('express');
const app = express();
app.listen(3000)."
446,NULL
447,NULL
448,"#include <iostream> int main() { std::cout << 'Hello, World!'; return 0; }"
449,NULL
450,"git clone repository_url.

def add(a, b): return a + b."
451,NULL
452,NULL
453,document.getElementById('myParagraph').textContent = 'New text';
454,git init
455,"function add(a, b) { return a + b; }
NULL"
456,"def greet(name): return 'Hello, ' + name."
457,"public class declaration, public static void main(String[] args), SELECT * FROM Users"
458,"```python
def add(a, b): 
    return a + b
```

```sql
INSERT INTO Users (Username, Password) VALUES ('user', 'password')
```

The identified code snippets are a Python function that adds two numbers and an SQL command for inserting a new record into a 'Users' table."
459,"def fibonacci(n): a, b = 0, 1 while a < n: print(a, end=' ') a, b = b, a+b"
460,NULL
461,"class Program { static void Main() { Console.WriteLine('Hello, World!'); } }"
462,NULL
463,var x = 0;
464,NULL
465,"printf('Hello, World!');

printf('%d + %d = %d', a, b, a + b);"
466,NULL
467,"function add(a, b) { return a + b; }"
468,NULL
469,"public class MyThread extends Thread {
  public void run(){
    System.out.println('Thread is running...');
  }
}

MyThread t1=new MyThread();
t1.start();"
470,NULL
471,"let person = { 
  'name': 'John', 
  'age': 30, 
  'city': 'New York' 
};"
472,NULL
473,"#include <vector> 

int main() { 
  std::vector<int> myVector; 
  myVector.push_back(1); 
  myVector.push_back(2); 
  myVector.push_back(3); 
  return 0; 
}"
474,NULL
475,squares = [x**2 for x in range(10)]
476,"'''
package main

import 'fmt'

func main() {
  fmt.Println('Hello, World!')
}
'''"
477,NULL
478,"var myString = 'Hello, World!'
if myString.isEmpty {
  print('String is empty')
} else {
  print(myString)
}"
479,"print('Hello, world!')"
480,NULL
481,"public class Main { public static void main(String[] args) { System.out.println('Hello, World!'); }}"
482,"fn main() { println!(""Hello, world!""); }"
483,NULL
484,git clone https://github.com/user/repo.git
485,NULL
486,"import unittest
class TestStringMethods(unittest.TestCase):
    def test_upper(self):
        self.assertEqual('foo'.upper(), 'FOO')"
487,"window.alert('Hello, world!')"
488,NULL
489,"fun main(args: Array<String>) { println('Hello, World!')}"
490,NULL
491,import pdb; pdb.set_trace()
492,NULL
493,git init
494,git clone https://github.com/user/repo.git
495,NULL
496,"public class Greeting {
 private String greeting;
 public Greeting(String g) {
 this.greeting = g;
 }
 public void sayHello() {
 System.out.println(this.greeting);
 }
 }"
497,NULL
498,"function greet(name) {
    return ""Hello, "" + name + ""!"";
}"
499,"```java
public class HelloWorld { 
 public static void main(String[] args) { 
 System.out.println('Hello, World!'); 
 } 
}
```"
500,NULL
501,"for i in range(10): 
 print(i)"
502,NULL
503,"#include <iostream> 

int main() { 
 std::cout << 'Hello, World!'; 
 return 0; 
}"
504,var x = 10; var y = 20; var z = x + y; console.log(z);
505,NULL
506,NULL
507,NULL
508,<html><head><title>My First Site</title></head><body><h1>Welcome to my site!</h1><p>This is my first website.</p></body></html>
509,NULL
510,public class Car { private String color; public Car(String color) { this.color = color; } public String getColor() { return color; } }
511,NULL
512,document.getElementById('myElement').innerHTML = 'New content';
513,NULL
514,NULL
515,"int sum(int a, int b){ return a + b; }"
516,NULL
517,public class Box { double width; double height; double depth; }
518,"fun greet() { println('Hello, world!') }"
519,NULL
520,"def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n-1)"
521,NULL
522,"function addNumbers(a, b) {
	return a + b;
}"
523,NULL
524,"def sum(array)
	array.inject(0){|sum,x| sum + x }
end"
525,C#
526,"function reverseString(str) {
	return str.split('').reverse().join('');
}"
527,NULL
528,"```python
def is_prime(n):
	if n <= 1:
		return False
	for i in range(2, n):
		if n % i == 0:
			return False
	return True
```
"
529,NULL
530,"package main
import ""fmt""
func main() {
    fmt.Println(""Hello, World!"")
}"
531,NULL
532,"```javascript
function factorial(n) {
	if (n === 0) {
		return 1;
	}
	return n * factorial(n - 1);
}
```

The provided paragraph contains the code snippet for the JavaScript function that calculates the factorial of a number."
533,NULL
534,NULL
535,my_list.sort()
536,NULL
537,NULL
538,NULL
539,NULL
540,NULL
541,NULL
542,public class Dog { private String name; public Dog(String name) { this.name = name; } public String getName() { return this.name; } }
543,NULL
544,int square(int x) { return x * x; }
545,NULL
546,"let promise = new Promise(function(resolve, reject) { setTimeout(() => resolve('done!'), 1000); });"
547,NULL
548,NULL
549,NULL
550,"def add(a, b):
    return a + b"
551,"let numbers = [1, 2, 3, 4, 5];
let maxNumber = Math.max(...numbers);"
552,NULL
553,SELECT * FROM Users WHERE Age > 18;
554,NULL
555,"```python
git clone https://github.com/example/repo.git
cd repo
git checkout -b new-feature
// make some changes
git add .
git commit -m 'Add new feature'
git push origin new-feature
```"
556,"for file in *.txt; do mv ""$file"" ""${file%.txt}.bak""; done"
557,"JUnit for Java, NUnit for .NET, and pytest for Python"
558,"void printHello() {
	std::cout << 'Hello, world!' << std::endl;
}
printHello();"
559,"for (int i = 1; i <= 10; i++) {
	System.out.println(i);
}"
560,NULL
561,NULL
562,"let fruits = ['apple', 'banana', 'cherry'];
console.log(fruits[0]);"
563,NULL
564,for i in range(10): print(i)
565,NULL
566,int myVar = 5;
567,NULL
568,"function myFunction() { alert('Hello, World!'); }"
569,NULL
570,NULL
571,NULL
572,"fun greet() { println('Hello, World!') }"
573,NULL
574,int myVar = 5;
575,NULL
576,var myVar = 5
577,NULL
578,int myVar = 5;
579,NULL
580,"int x = 0; 
var x = 0;"
581,NULL
582,NULL
583,NULL
584,NULL
585,int number = 10;
586,"CREATE TABLE Employees (ID INT PRIMARY KEY NOT NULL, NAME TEXT NOT NULL, AGE INT NOT NULL, ADDRESS CHAR(50));"
587,NULL
588,git clone https://github.com/user/repo.git
589,NULL
590,"def hello_world(): 
print('Hello, world!') 

public static void main(String[] args) { 
System.out.println('Hello, World!'); }"
591,NULL
592,NULL
593,NULL
594,"public class HelloWorld 
{ 
public static void main(String[] args) 
{ 
System.out.println(""Hello, World!""); 
} 
}"
595,NULL
596,"static void Main(string[] args) 
{ 
Console.WriteLine(""Hello World!""); 
}"
597,NULL
598,"def hello 
  puts 'Hello, World!' 
end 
hello"
599,NULL
600,"import SwiftUI 
struct ContentView: View { 
var body: some View { 
Text(""Hello, World!"") 
} 
}"
601,"Sorry, but I cannot identify and return the code in the given paragraph as there is no code mentioned."
602,NULL
603,NULL
604,print('This is a debug message')
605,NULL
606,"#include<stdio.h> 
int main() 
{ 
printf(""Hello, World!""); 
return 0; 
}"
607,NULL
608,"def greet():
return 'Hello, World!'
print(greet())"
609,"public class HelloWorld {public static void Main(string[] args) {System.Console.WriteLine(""Hello, World!"");}}"
610,"Here is the code extracted from the paragraph:

```
import unittest
class TestStringMethods(unittest.TestCase):
    def test_upper(self):
        self.assertEqual('foo'.upper(), 'FOO')
```

No other code is present in the paragraph."
611,NULL
612,NULL
613,"List<Integer> numbers = new ArrayList<Integer>();
for (Integer number : numbers) {
System.out.println(number);
}"
614,"```cpp
class MyClass {
public:
int myFunction() {
return 0;
}
};
```"
615,NULL
616,NULL
617,"print('Hello, World!')"
618,NULL
619,function changeBackgroundColor(color) { document.body.style.background = color; }
620,for(int i=0; i<arr.length; i++) { /* do something with arr[i] */ }
621,NULL
622,NULL
623,NULL
624,NULL
625,"println('Hello, Kotlin!')"
626,NULL
627,NULL
628,NULL
629,"console.log('Debug: ', variable)"
630,NULL
631,"if (denominator == 0) 
{
	throw new DivideByZeroException();
}"
632,NULL
633,"def calculate_sum(a, b):
	return a + b"
634,NULL
635,"public class HelloWorld {
    public static void main(String[] args) {
        System.out.println('Hello, World!');
    }
}"
636,NULL
637,"#include <iostream>

int main() {
    std::cout << 'Hello, World!';
    return 0;
}"
638,"print('Hello, World!')"
639,NULL
640,"if (denominator != 0) {
	result = numerator / denominator;
} else {
	printf('Error: Division by zero');
}"
641,NULL
642,"def quicksort(arr):
	if len(arr) <= 1:
		return arr
	pivot = arr[len(arr) // 2]
	left = [x for x in arr if x < pivot]
	right = [x for x in arr if x > pivot]
	middle = [x for x in arr if x == pivot]
	return quicksort(left) + middle + quicksort(right)"
643,NULL
644,"```javascript
function factorial(n) {
	if (n === 0) {
		return 1;
	} else {
		return n * factorial(n - 1);
	}
}
```"
645,NULL
646,NULL
647,"def hello_world():
    print('Hello, World!')

hello_world()

public static void Main(string[] args)
{
    Console.WriteLine('Hello, World!');
}"
648,NULL
649,"```java
int[] numbers = {1, 2, 3, 4, 5};

for (int i = 0; i < numbers.length; i++) {
    System.out.println(numbers[i]);
}
```"
650,NULL
651,"def add_two_numbers(num1, num2):
	return num1 + num2"
652,"function factorial(n) {
	if (n === 0) {
		return 1;
	}
	else {
		return n * factorial(n - 1);
	}
}"
653,NULL
